File;Time;Values;Solutions
10_ulysses_3.tsp;0.37572598457336426;136.99527629589417;Array{Any,1}[[4, 6, 7, 8], [1, 2, 3, 10], [5, 9]]
10_ulysses_6.tsp;0.19085288047790527;55.11939124322687;Array{Any,1}[[1, 4, 8], [2, 3], [6, 9], [7], [10], [5]]
10_ulysses_9.tsp;0.15698504447937012;33.29189782877749;Array{Any,1}[[8], [2, 3], [10], [7], [9], [5], [1], [4], [6]]
14_burma_3.tsp;0.8417308330535889;93.3899872599682;Array{Any,1}[[1, 8, 9, 10, 11], [2, 12, 13, 14], [3, 4, 5, 6, 7]]
14_burma_6.tsp;0.8586058616638184;42.74062354260174;Array{Any,1}[[3, 4, 5], [6, 12, 14], [2, 13], [9, 10], [1, 8, 11], [7]]
14_burma_9.tsp;7233.057000160217;20.762438566071065;0.6185289847272546;Array{Any,1}[[3, 4], [7], [2], [5], [6, 12], [1, 8], [10], [9, 11], [13, 14]]
22_ulysses_3.tsp;6.384905099868774;358.63682862251824;Array{Any,1}[[5, 6, 9, 11, 15, 21], [1, 2, 3, 4, 8, 16, 17, 18], [7, 10, 12, 13, 14, 19, 20, 22]]
22_ulysses_6.tsp;157.15098905563354;116.52876945505506;Array{Any,1}[[7, 11], [1, 8, 16, 22], [10, 12, 20, 21], [2, 3, 4, 17, 18], [9, 13, 19], [5, 6, 14, 15]]
22_ulysses_9.tsp;7242.295000076294;64.97359245269088;0.4728892780357913;Array{Any,1}[[1, 16, 22], [20, 21], [4, 8, 18], [12, 14, 15], [5, 9], [2, 3, 17], [11, 19], [6, 10], [7, 13]]
26_eil_3.tsp;250.3860001564026;2297.629585571084;0.9999319441686743;Array{Any,1}[[6, 7, 8, 14, 22, 23, 24, 25, 26], [1, 2, 3, 5, 9, 10, 11, 16, 20, 21], [4, 12, 13, 15, 17, 18, 19]]
26_eil_6.tsp;7789.213000059128;1097.4152359898462;0.35386605831282913;Array{Any,1}[[5, 10, 11, 12, 15, 16], [6, 14, 23, 25], [2, 9, 20, 21], [13, 18, 24], [4, 17, 19], [1, 3, 7, 8, 22, 26]]
26_eil_9.tsp;7206.892000198364;790.7431598526316;0.007769916974619373;Array{Any,1}[[5, 9, 15], [6, 14, 25], [22, 23, 26], [7, 8, 24], [3, 16, 20, 21], [13, 18], [12, 17, 19], [1, 2, 11], [4, 10]]
30_eil_3.tsp;3295.140000104904;3027.110276255874;0.999903092278682;Array{Any,1}[[3, 9, 16, 18, 23, 24, 25], [1, 2, 5, 6, 15, 20, 21, 22, 27, 28, 29, 30], [4, 7, 8, 10, 11, 12, 13, 14, 17, 19, 26]]
30_eil_6.tsp;7348.468000173569;1420.6143089859693;0.2239943551547563;Array{Any,1}[[9, 12, 18, 24, 25], [5, 8, 13, 14, 19, 27], [15, 20, 21, 23, 29], [3, 10, 17], [4, 6, 7, 11, 26], [1, 2, 16, 22, 28, 30]]
30_eil_9.tsp;7259.636000156403;719.971761421444;0.025995150286416302;Array{Any,1}[[22, 23, 24], [8, 12, 13], [3, 17, 26], [5, 15, 20, 29], [9, 10, 25], [16, 18], [1, 2, 21, 28], [4, 6, 27, 30], [7, 11, 14, 19]]
